country,disease,transmission,advice,source_url
Afghanistan,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Albania,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Albania,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Albania,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Albania,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Albania,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Algeria,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
Algeria,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
Algeria,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
Algeria,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
Algeria,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
American Samoa,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
American Samoa,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
American Samoa,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
American Samoa,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
American Samoa,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
Andorra,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra
Andorra,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra
Andorra,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra
British Virgin Islands,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
Angola,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Angola,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Angola,African Sleeping Sickness (African Trypanosomiasis),Tsetse fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Angola,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Angola,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Angola,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Angola,Marburg Virus Disease,Touching infected animals (including bats and primates) or their body fluids Touching body fluids (blood or sweat) from an infected person Touching objects contaminated with the body fluids of a person infected with Ebola or Marburg virus,Avoid sick people Avoid animals and areas where they live,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Angola,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Angola,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
Anguilla,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla
Anguilla,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla
Anguilla,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla
Anguilla,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla
Anguilla,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla
Anguilla,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla
Antigua and Barbuda,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda
Antigua and Barbuda,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda
Antigua and Barbuda,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda
Antigua and Barbuda,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda
Antigua and Barbuda,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda
Antigua and Barbuda,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda
Argentina,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina
Argentina,Chagas disease (American Trypanosomiasis),"Accidentally rub feces (poop) of the triatomine bug into the bug bite, other breaks in the skin, your eyes, or mouth From pregnant woman to her baby, contaminated blood products (transfusions), or contaminated food or drink.",Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina
Argentina,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina
Argentina,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina
Argentina,New World Screwworm Myiasis,"Fly lays eggs on open wound or mucous membranes (e.g., mouth, nasal passages)","Avoid bug bites Clean and cover wounds Sleep in a room with screened windows, or under a bed net, or inside a screened tent Avoid spending time around livestock",https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina
Argentina,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina
Argentina,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina
Argentina,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina
Armenia,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/armenia
Armenia,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/armenia
Armenia,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/armenia
Armenia,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/armenia
Armenia,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/armenia
Aruba,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/aruba
Aruba,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/aruba
Aruba,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/aruba
Aruba,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/aruba
Aruba,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/aruba
Aruba,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/aruba
French Polynesia,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/french-polynesia
French Polynesia,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/french-polynesia
French Polynesia,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/french-polynesia
French Polynesia,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/french-polynesia
French Polynesia,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/french-polynesia
Australia,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/australia
Australia,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather Melioidosis is a risk in northern Australia.","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/australia
Australia,Dengue,Mosquito bite Dengue outbreaks in Australia have only occurred in north and central Queensland.,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/australia
Australia,Ross River virus disease,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/australia
Australia,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/australia
Australia,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/australia
Austria,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/austria
Austria,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/austria
Austria,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/austria
Azerbaijan,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/azerbaijan
Azerbaijan,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/azerbaijan
Azerbaijan,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/azerbaijan
Azerbaijan,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/azerbaijan
Azerbaijan,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/azerbaijan
Azores,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/azores
Azores,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/azores
Azores,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/azores
The Bahamas,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/the-bahamas
The Bahamas,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/the-bahamas
The Bahamas,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/the-bahamas
The Bahamas,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/the-bahamas
The Bahamas,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/the-bahamas
Bahrain,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bahrain
Bahrain,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bahrain
Bahrain,Middle East Respiratory Syndrome (MERS),Scientists do not fully understand how the MERS virus spreads May spread from to others when an infected person coughs or sneezes May spread to people from camels.,Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bahrain
Bahrain,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bahrain
Bangladesh,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh
Bangladesh,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh
Bangladesh,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh
Bangladesh,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh
Bangladesh,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh
Bangladesh,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh
Bangladesh,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh
Bangladesh,Antimicrobial-resistant (AR) Ringworm,"Close contact with infected person Shared objects (e.g., towels, bed sheets) Shared surfaces (e.g., locker room and shower floors)","Keep skin clean and dry. Do not share bedding, towels, or clothes. If you a develop a rash while traveling: Avoid touching the infected area so it does not spread to other parts of your body. Consult a healthcare provider for treatment and testing. Avoid steroid creams, as they can make the ringworm worse. Use prescribed or over-the-counter (OTC) antifungals exactly as directed and contact a healthcare provider if treatment is not working. Topical antifungals and oral terbinafine are frequently ineffective against AR ringworm.",https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh
Barbados,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/barbados
Barbados,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/barbados
Barbados,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/barbados
Barbados,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/barbados
Barbados,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/barbados
Barbados,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/barbados
Belarus,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/belarus
Belarus,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/belarus
Belarus,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/belarus
Belgium,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/belgium
Belgium,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/belgium
Belgium,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/belgium
Belize,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/belize
