"disease"
"COVID-19"
"Chickenpox (Varicella)"
"Chikungunya"
"Cholera"
"Diphtheria-Tetanus-Pertussis"
"Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)"
"Flu (influenza)"
"Hepatitis A"
"Hepatitis B"
"Japanese Encephalitis"
"Malaria"
"Measles"
"Measles-Mumps-Rubella (MMR)"
"Meningococcal disease"
"Monkeypox"
"Pneumococcal"
"Polio"
"Rabies"
"Shingles"
"Tick-borne Encephalitis"
"Typhoid"
"Yellow Fever"
